"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","4271","19470101","-2.1","5","0"
"TMK_MN004","4271","19470102","-2.7","5","0"
"TMK_MN004","4271","19470103","-4.8","5","0"
"TMK_MN004","4271","19470104","-9.2","5","0"
"TMK_MN004","4271","19470105","-12.9","5","0"
"TMK_MN004","4271","19470106","-13.4","5","0"
"TMK_MN004","4271","19470107","-13.3","5","0"
"TMK_MN004","4271","19470108","-12.9","5","0"
"TMK_MN004","4271","19470109","-9.9","5","0"
"TMK_MN004","4271","19470110","-9.1","5","0"
"TMK_MN004","4271","19470111","-10.8","5","0"
"TMK_MN004","4271","19470112","-9.3","5","0"
"TMK_MN004","4271","19470113","-1.1","5","0"
"TMK_MN004","4271","19470114","2.6","5","0"
"TMK_MN004","4271","19470115","6.1","5","0"
"TMK_MN004","4271","19470116","5.5","5","0"
"TMK_MN004","4271","19470117","4.6","5","0"
"TMK_MN004","4271","19470118","2.8","5","0"
"TMK_MN004","4271","19470119","0.3","5","0"
"TMK_MN004","4271","19470120","-0.2","5","0"
"TMK_MN004","4271","19470121","-1.3","5","0"
"TMK_MN004","4271","19470122","-2.3","5","0"
"TMK_MN004","4271","19470123","-2.1","5","0"
"TMK_MN004","4271","19470124","-2.8","5","0"
"TMK_MN004","4271","19470125","-3.3","5","0"
"TMK_MN004","4271","19470126","-5.9","5","0"
"TMK_MN004","4271","19470127","-4.4","5","0"
"TMK_MN004","4271","19470128","-7","5","0"
"TMK_MN004","4271","19470129","-6","5","0"
"TMK_MN004","4271","19470130","-6.2","5","0"
"TMK_MN004","4271","19470131","-7.4","5","0"
"TMK_MN004","4271","19470201","-8.6","5","0"
"TMK_MN004","4271","19470202","-8.9","5","0"
"TMK_MN004","4271","19470203","-7.2","5","0"
"TMK_MN004","4271","19470204","-3.1","5","0"
"TMK_MN004","4271","19470205","-3.8","5","0"
"TMK_MN004","4271","19470206","-6","5","0"
"TMK_MN004","4271","19470207","-8.1","5","0"
"TMK_MN004","4271","19470208","-10.4","5","0"
"TMK_MN004","4271","19470209","-7.1","5","0"
"TMK_MN004","4271","19470210","-7.9","5","0"
"TMK_MN004","4271","19470211","-7.6","5","0"
"TMK_MN004","4271","19470212","-8.1","5","0"
"TMK_MN004","4271","19470213","-4.8","5","0"
"TMK_MN004","4271","19470214","-3.6","5","0"
"TMK_MN004","4271","19470215","-3.6","5","0"
"TMK_MN004","4271","19470216","-4.7","5","0"
"TMK_MN004","4271","19470217","-8.1","5","0"
"TMK_MN004","4271","19470218","-5.8","5","0"
"TMK_MN004","4271","19470219","-5.1","5","0"
"TMK_MN004","4271","19470220","-4.8","5","0"
"TMK_MN004","4271","19470221","-6.1","5","0"
"TMK_MN004","4271","19470222","-6.5","5","0"
"TMK_MN004","4271","19470223","-8.6","5","0"
"TMK_MN004","4271","19470224","-11.4","5","0"
"TMK_MN004","4271","19470225","-9.6","5","0"
"TMK_MN004","4271","19470226","-8.8","5","0"
"TMK_MN004","4271","19470227","-7.4","5","0"
"TMK_MN004","4271","19470228","-5.8","5","0"
"TMK_MN004","4271","19470301","-4.8","5","0"
"TMK_MN004","4271","19470302","-9.6","5","0"
"TMK_MN004","4271","19470303","-5","5","0"
"TMK_MN004","4271","19470304","-3.3","5","2"
"TMK_MN004","4271","19470305","-2.3","5","0"
"TMK_MN004","4271","19470306","-2.7","5","0"
"TMK_MN004","4271","19470307","-2.7","5","0"
"TMK_MN004","4271","19470308","-3.7","5","0"
"TMK_MN004","4271","19470309","-5.2","5","0"
"TMK_MN004","4271","19470310","-8","5","0"
"TMK_MN004","4271","19470311","-5.8","5","0"
"TMK_MN004","4271","19470312","-7.4","5","0"
"TMK_MN004","4271","19470313","-4.7","5","0"
"TMK_MN004","4271","19470314","-1.6","5","0"
"TMK_MN004","4271","19470315","-3.2","5","0"
"TMK_MN004","4271","19470316","0","5","0"
"TMK_MN004","4271","19470317","1.8","5","0"
"TMK_MN004","4271","19470318","0.6","5","0"
"TMK_MN004","4271","19470319","2.1","5","0"
"TMK_MN004","4271","19470320","3.2","5","0"
"TMK_MN004","4271","19470321","3.4","5","0"
"TMK_MN004","4271","19470322","7","5","0"
"TMK_MN004","4271","19470323","7.4","5","0"
"TMK_MN004","4271","19470324","4.6","5","0"
"TMK_MN004","4271","19470325","2.8","5","0"
"TMK_MN004","4271","19470326","4.4","5","0"
"TMK_MN004","4271","19470327","2.7","5","0"
"TMK_MN004","4271","19470328","3.4","5","0"
"TMK_MN004","4271","19470329","7.8","5","0"
"TMK_MN004","4271","19470330","8.1","5","0"
"TMK_MN004","4271","19470331","7","5","0"
"TMK_MN004","4271","19470401","7.2","5","0"
"TMK_MN004","4271","19470402","2.8","5","0"
"TMK_MN004","4271","19470403","2.1","5","0"
"TMK_MN004","4271","19470404","3","5","0"
"TMK_MN004","4271","19470405","3","5","0"
"TMK_MN004","4271","19470406","5.5","5","0"
"TMK_MN004","4271","19470407","7.2","5","0"
"TMK_MN004","4271","19470408","3.9","5","0"
"TMK_MN004","4271","19470409","2.5","5","0"
"TMK_MN004","4271","19470410","3","5","0"
"TMK_MN004","4271","19470411","4.1","5","0"
"TMK_MN004","4271","19470412","8","5","0"
"TMK_MN004","4271","19470413","3.6","5","0"
"TMK_MN004","4271","19470414","9.6","5","0"
"TMK_MN004","4271","19470415","11.1","5","0"
"TMK_MN004","4271","19470416","7.6","5","0"
"TMK_MN004","4271","19470417","7.4","5","0"
"TMK_MN004","4271","19470418","4.9","5","0"
"TMK_MN004","4271","19470419","11.2","5","0"
"TMK_MN004","4271","19470420","10.4","5","0"
"TMK_MN004","4271","19470421","11.4","5","0"
"TMK_MN004","4271","19470422","11","5","0"
"TMK_MN004","4271","19470423","11.4","5","0"
"TMK_MN004","4271","19470424","9","5","0"
"TMK_MN004","4271","19470425","10.2","5","0"
"TMK_MN004","4271","19470426","8.1","5","0"
"TMK_MN004","4271","19470427","9.8","5","0"
"TMK_MN004","4271","19470428","8","5","0"
"TMK_MN004","4271","19470429","6.3","5","0"
"TMK_MN004","4271","19470430","6.5","5","0"
"TMK_MN004","4271","19470501","4","5","0"
"TMK_MN004","4271","19470502","4.6","5","0"
"TMK_MN004","4271","19470503","4.9","5","0"
"TMK_MN004","4271","19470504","6.2","5","0"
"TMK_MN004","4271","19470505","8.5","5","0"
"TMK_MN004","4271","19470506","11.9","5","0"
"TMK_MN004","4271","19470507","12.7","5","0"
"TMK_MN004","4271","19470508","11.7","5","0"
"TMK_MN004","4271","19470509","16.7","5","0"
"TMK_MN004","4271","19470510","14.2","5","0"
"TMK_MN004","4271","19470511","16.5","5","0"
"TMK_MN004","4271","19470512","14","5","0"
"TMK_MN004","4271","19470513","15.6","5","0"
"TMK_MN004","4271","19470514","20.6","5","0"
"TMK_MN004","4271","19470515","12.3","5","0"
"TMK_MN004","4271","19470516","12.1","5","0"
"TMK_MN004","4271","19470517","12.2","5","0"
"TMK_MN004","4271","19470518","10.3","5","0"
"TMK_MN004","4271","19470519","8.2","5","0"
"TMK_MN004","4271","19470520","11.4","5","0"
"TMK_MN004","4271","19470521","9.6","5","0"
"TMK_MN004","4271","19470522","13","5","0"
"TMK_MN004","4271","19470523","16.5","5","0"
"TMK_MN004","4271","19470524","13.7","5","0"
"TMK_MN004","4271","19470525","13.7","5","0"
"TMK_MN004","4271","19470526","12.3","5","0"
"TMK_MN004","4271","19470527","16","5","0"
"TMK_MN004","4271","19470528","13","5","0"
"TMK_MN004","4271","19470529","14.5","5","0"
"TMK_MN004","4271","19470530","18","5","0"
"TMK_MN004","4271","19470531","21.6","5","0"
"TMK_MN004","4271","19470601","20.8","5","0"
"TMK_MN004","4271","19470602","20.7","5","0"
"TMK_MN004","4271","19470603","17.5","5","0"
"TMK_MN004","4271","19470604","17.9","5","0"
"TMK_MN004","4271","19470605","16","5","0"
"TMK_MN004","4271","19470606","12.8","5","0"
"TMK_MN004","4271","19470607","12.5","5","0"
"TMK_MN004","4271","19470608","12","5","0"
"TMK_MN004","4271","19470609","12.8","5","0"
"TMK_MN004","4271","19470610","12.3","5","0"
"TMK_MN004","4271","19470611","12.8","5","0"
"TMK_MN004","4271","19470612","12.4","5","0"
"TMK_MN004","4271","19470613","14.4","5","0"
"TMK_MN004","4271","19470614","14.3","5","0"
"TMK_MN004","4271","19470615","14.4","5","0"
"TMK_MN004","4271","19470616","14","5","0"
"TMK_MN004","4271","19470617","14.8","5","0"
"TMK_MN004","4271","19470618","16.8","5","0"
"TMK_MN004","4271","19470619","18.8","5","0"
"TMK_MN004","4271","19470620","17.7","5","0"
"TMK_MN004","4271","19470621","18.8","5","0"
"TMK_MN004","4271","19470622","15.3","5","0"
"TMK_MN004","4271","19470623","15.6","5","0"
"TMK_MN004","4271","19470624","15","5","0"
"TMK_MN004","4271","19470625","20.8","5","0"
"TMK_MN004","4271","19470626","19.6","5","0"
"TMK_MN004","4271","19470627","20","5","0"
"TMK_MN004","4271","19470628","24.7","5","0"
"TMK_MN004","4271","19470629","27.8","5","0"
"TMK_MN004","4271","19470630","22","5","0"
"TMK_MN004","4271","19470701","18.2","5","0"
"TMK_MN004","4271","19470702","17.7","5","0"
"TMK_MN004","4271","19470703","19.8","5","0"
"TMK_MN004","4271","19470704","21.7","5","0"
"TMK_MN004","4271","19470705","17.9","5","0"
"TMK_MN004","4271","19470706","13.2","5","0"
"TMK_MN004","4271","19470707","16.7","5","0"
"TMK_MN004","4271","19470708","15.8","5","0"
"TMK_MN004","4271","19470709","15.8","5","0"
"TMK_MN004","4271","19470710","14.4","5","0"
"TMK_MN004","4271","19470711","13.6","5","0"
"TMK_MN004","4271","19470712","16.1","5","0"
"TMK_MN004","4271","19470713","16.8","5","0"
"TMK_MN004","4271","19470714","16.4","5","0"
"TMK_MN004","4271","19470715","18.2","5","0"
"TMK_MN004","4271","19470716","19.4","5","0"
"TMK_MN004","4271","19470717","18.4","5","0"
"TMK_MN004","4271","19470718","17","5","0"
"TMK_MN004","4271","19470719","17.2","5","0"
"TMK_MN004","4271","19470720","17.4","5","0"
"TMK_MN004","4271","19470721","16.8","5","0"
"TMK_MN004","4271","19470722","18.6","5","0"
"TMK_MN004","4271","19470723","19.8","5","0"
"TMK_MN004","4271","19470724","22.4","5","0"
"TMK_MN004","4271","19470725","18.9","5","0"
"TMK_MN004","4271","19470726","20.2","5","0"
"TMK_MN004","4271","19470727","18.3","5","0"
"TMK_MN004","4271","19470728","16.9","5","0"
"TMK_MN004","4271","19470729","19.1","5","0"
"TMK_MN004","4271","19470730","19.1","5","0"
"TMK_MN004","4271","19470731","18","5","0"
"TMK_MN004","4271","19470801","17.8","5","0"
"TMK_MN004","4271","19470802","15.4","5","0"
"TMK_MN004","4271","19470803","18.2","5","0"
"TMK_MN004","4271","19470804","18.2","5","0"
"TMK_MN004","4271","19470805","20.8","5","0"
"TMK_MN004","4271","19470806","18.2","5","0"
"TMK_MN004","4271","19470807","16.7","5","0"
"TMK_MN004","4271","19470808","17.2","5","0"
"TMK_MN004","4271","19470809","18.4","5","0"
"TMK_MN004","4271","19470810","17.4","5","0"
"TMK_MN004","4271","19470811","18.7","5","0"
"TMK_MN004","4271","19470812","19.6","5","0"
"TMK_MN004","4271","19470813","19","5","0"
"TMK_MN004","4271","19470814","19.8","5","0"
"TMK_MN004","4271","19470815","20.8","5","0"
"TMK_MN004","4271","19470816","19.5","5","0"
"TMK_MN004","4271","19470817","20.9","5","0"
"TMK_MN004","4271","19470818","20.7","5","0"
"TMK_MN004","4271","19470819","17.2","5","0"
"TMK_MN004","4271","19470820","17","5","0"
"TMK_MN004","4271","19470821","16.6","5","0"
"TMK_MN004","4271","19470822","16.6","5","0"
"TMK_MN004","4271","19470823","16.8","5","0"
"TMK_MN004","4271","19470824","16.4","5","0"
"TMK_MN004","4271","19470825","16.3","5","0"
"TMK_MN004","4271","19470826","15.7","5","0"
"TMK_MN004","4271","19470827","17.6","5","0"
